mode,year,parent_area,summary_level,geoid,threshold,weighted_average
transit,2021,25,block_group,250010102081,1500,116.177606177606
transit,2021,25,block_group,250010102081,1800,161.444015444015
transit,2021,25,block_group,250010102081,2100,235.227799227799
transit,2021,25,block_group,250010102081,2400,314.509652509652
transit,2021,25,block_group,250010102081,2700,392.872586872586
transit,2021,25,block_group,250010102081,3000,507.602316602316
transit,2021,25,block_group,250010102081,3300,650.15444015444
transit,2021,25,block_group,250010102081,3600,752.324324324324
transit,2021,25,block_group,250010102082,300,6.92237442922374
transit,2021,25,block_group,250010102082,600,10.9269406392694
transit,2021,25,block_group,250010102082,900,34.3835616438356
transit,2021,25,block_group,250010102082,1200,65.5570776255707
transit,2021,25,block_group,250010102082,1500,90.1643835616438
transit,2021,25,block_group,250010102082,1800,106.648401826484
transit,2021,25,block_group,250010102082,2100,153.232876712328
transit,2021,25,block_group,250010102082,2400,239.497716894977
transit,2021,25,block_group,250010102082,2700,304.337899543379
transit,2021,25,block_group,250010102082,3000,398.159817351598
transit,2021,25,block_group,250010102082,3300,502.191780821917
transit,2021,25,block_group,250010102082,3600,601.287671232876
transit,2021,25,block_group,250010102083,300,4.21182266009852
transit,2021,25,block_group,250010102083,600,7.61083743842364
transit,2021,25,block_group,250010102083,900,23.7980295566502
transit,2021,25,block_group,250010102083,1200,40.4187192118226
transit,2021,25,block_group,250010102083,1500,57.3152709359605
transit,2021,25,block_group,250010102083,1800,75.4532019704433
transit,2021,25,block_group,250010102083,2100,112.201970443349
transit,2021,25,block_group,250010102083,2400,176.187192118226
transit,2021,25,block_group,250010102083,2700,229.049261083743
transit,2021,25,block_group,250010102083,3000,300.354679802955
transit,2021,25,block_group,250010102083,3300,386.591133004926
transit,2021,25,block_group,250010102083,3600,495.541871921182
transit,2021,25,block_group,250010103041,300,2.36756756756756
transit,2021,25,block_group,250010103041,600,9.63513513513513
transit,2021,25,block_group,250010103041,900,20.8459459459459
transit,2021,25,block_group,250010103041,1200,69.6459459459459
transit,2021,25,block_group,250010103041,1500,180.086486486486
transit,2021,25,block_group,250010103041,1800,449.475675675675
transit,2021,25,block_group,250010103041,2100,760.521621621621
transit,2021,25,block_group,250010103041,2400,1022.52432432432
transit,2021,25,block_group,250010103041,2700,1319.57297297297
transit,2021,25,block_group,250010103041,3000,1921.77567567567
transit,2021,25,block_group,250010103041,3300,2379.13243243243
transit,2021,25,block_group,250010103041,3600,2930.5081081081
transit,2021,25,block_group,250010103042,300,6.30960854092526
transit,2021,25,block_group,250010103042,600,27.7651245551601
transit,2021,25,block_group,250010103042,900,77.0427046263345
transit,2021,25,block_group,250010103042,1200,116.395017793594
transit,2021,25,block_group,250010103042,1500,227.661921708185
transit,2021,25,block_group,250010103042,1800,369.014234875444
transit,2021,25,block_group,250010103042,2100,535.772241992882
transit,2021,25,block_group,250010103042,2400,733.822064056939
transit,2021,25,block_group,250010103042,2700,890.61921708185
transit,2021,25,block_group,250010103042,3000,1052.09964412811
transit,2021,25,block_group,250010103042,3300,1229.31316725978
transit,2021,25,block_group,250010103042,3600,1407.61921708185
transit,2021,25,block_group,250010103043,300,10.6355932203389
transit,2021,25,block_group,250010103043,600,16.3135593220339
transit,2021,25,block_group,250010103043,900,29.2669491525423
transit,2021,25,block_group,250010103043,1200,49.864406779661
transit,2021,25,block_group,250010103043,1500,103.580508474576
transit,2021,25,block_group,250010103043,1800,186.415254237288
transit,2021,25,block_group,250010103043,2100,276.93220338983
transit,2021,25,block_group,250010103043,2400,415.105932203389
transit,2021,25,block_group,250010103043,2700,656.444915254237
transit,2021,25,block_group,250010103043,3000,1023.2627118644
transit,2021,25,block_group,250010103043,3300,1584.79661016949
transit,2021,25,block_group,250010103043,3600,2063.67796610169
transit,2021,25,block_group,250010103061,300,17.1987767584097
transit,2021,25,block_group,250010103061,600,46.006116207951
transit,2021,25,block_group,250010103061,900,133.100917431192
transit,2021,25,block_group,250010103061,1200,218.663608562691
transit,2021,25,block_group,250010103061,1500,414.495412844036
transit,2021,25,block_group,250010103061,1800,565.642201834862
transit,2021,25,block_group,250010103061,2100,671.20489296636
transit,2021,25,block_group,250010103061,2400,820.373088685015
transit,2021,25,block_group,250010103061,2700,926.415902140672
transit,2021,25,block_group,250010103061,3000,1087.03363914373
transit,2021,25,block_group,250010103061,3300,1255.38226299694
transit,2021,25,block_group,250010103061,3600,1471.60856269113
transit,2021,25,block_group,250010103062,300,16.8547945205479
transit,2021,25,block_group,250010103062,600,30.0438356164383
transit,2021,25,block_group,250010103062,900,121.194520547945
transit,2021,25,block_group,250010103062,1200,253.016438356164
transit,2021,25,block_group,250010103062,1500,390.967123287671
transit,2021,25,block_group,250010103062,1800,548.084931506849
transit,2021,25,block_group,250010103062,2100,709.487671232876
transit,2021,25,block_group,250010103062,2400,847.673972602739
transit,2021,25,block_group,250010103062,2700,969.293150684931
transit,2021,25,block_group,250010103062,3000,1113.73972602739
transit,2021,25,block_group,250010103062,3300,1275.79452054794
transit,2021,25,block_group,250010103062,3600,1457.12876712328
transit,2021,25,block_group,250010103063,300,3.11805555555555
transit,2021,25,block_group,250010103063,600,6.07986111111111
transit,2021,25,block_group,250010103063,900,13.6076388888888
transit,2021,25,block_group,250010103063,1200,64.6423611111111
transit,2021,25,block_group,250010103063,1500,187.222222222222
transit,2021,25,block_group,250010103063,1800,289.423611111111
transit,2021,25,block_group,250010103063,2100,487.71875
transit,2021,25,block_group,250010103063,2400,682.923611111111
transit,2021,25,block_group,250010103063,2700,801.145833333333
transit,2021,25,block_group,250010103063,3000,906.71875
transit,2021,25,block_group,250010103063,3300,1036.89236111111
transit,2021,25,block_group,250010103063,3600,1203.38888888888
transit,2021,25,block_group,250010104001,300,7.47076023391812
transit,2021,25,block_group,250010104001,600,23.4327485380116
transit,2021,25,block_group,250010104001,900,78.9707602339181
transit,2021,25,block_group,250010104001,1200,159.336257309941
transit,2021,25,block_group,250010104001,1500,345.505847953216
transit,2021,25,block_group,250010104001,1800,776.935672514619
transit,2021,25,block_group,250010104001,2100,1323.49707602339
transit,2021,25,block_group,250010104001,2400,1978.20467836257
transit,2021,25,block_group,250010104001,2700,2510.12573099415
transit,2021,25,block_group,250010104001,3000,2956.51461988304
transit,2021,25,block_group,250010104001,3300,3412.63157894736
transit,2021,25,block_group,250010104001,3600,3840.6461988304
transit,2021,25,block_group,250010104002,300,126.242774566473
transit,2021,25,block_group,250010104002,600,311.471098265895
transit,2021,25,block_group,250010104002,900,754.780346820809
transit,2021,25,block_group,250010104002,1200,1371.01734104046
transit,2021,25,block_group,250010104002,1500,2057.68208092485
transit,2021,25,block_group,250010104002,1800,2459.13872832369
transit,2021,25,block_group,250010104002,2100,3036.60693641618
transit,2021,25,block_group,250010104002,2400,3538.96531791907
transit,2021,25,block_group,250010104002,2700,3970.84971098265
transit,2021,25,block_group,250010104002,3000,4377.77167630057
transit,2021,25,block_group,250010104002,3300,4842.92774566474
transit,2021,25,block_group,250010104002,3600,5366.10115606936
transit,2021,25,block_group,250010104003,300,25.1023102310231
transit,2021,25,block_group,250010104003,600,116.620462046204
transit,2021,25,block_group,250010104003,900,448.570957095709
transit,2021,25,block_group,250010104003,1200,816.049504950495
transit,2021,25,block_group,250010104003,1500,1249.85148514851
transit,2021,25,block_group,250010104003,1800,1742.79867986798
transit,2021,25,block_group,250010104003,2100,2252.6303630363
transit,2021,25,block_group,250010104003,2400,2706.39603960396
transit,2021,25,block_group,250010104003,2700,3086.81848184818
transit,2021,25,block_group,250010104003,3000,3495.28712871287
transit,2021,25,block_group,250010104003,3300,3922.72937293729
transit,2021,25,block_group,250010104003,3600,4361.41254125412
transit,2021,25,block_group,250010104004,300,3.88352272727272
transit,2021,25,block_group,250010104004,600,12.4772727272727
transit,2021,25,block_group,250010104004,900,59.0056818181818
transit,2021,25,block_group,250010104004,1200,70.46875
transit,2021,25,block_group,250010104004,1500,144.349431818181
transit,2021,25,block_group,250010104004,1800,180.588068181818
transit,2021,25,block_group,250010104004,2100,265.778409090909
transit,2021,25,block_group,250010104004,2400,448.116477272727
transit,2021,25,block_group,250010104004,2700,736.880681818181
transit,2021,25,block_group,250010104004,3000,1064.92045454545
transit,2021,25,block_group,250010104004,3300,1518.23863636363
transit,2021,25,block_group,250010104004,3600,2103.62784090909
transit,2021,25,block_group,250010105001,300,19.3631961259079
transit,2021,25,block_group,250010105001,600,78.953995157385
transit,2021,25,block_group,250010105001,900,180.687651331719
transit,2021,25,block_group,250010105001,1200,340.937046004842
transit,2021,25,block_group,250010105001,1500,561.365617433414
transit,2021,25,block_group,250010105001,1800,792.753026634382
transit,2021,25,block_group,250010105001,2100,1093.45762711864
transit,2021,25,block_group,250010105001,2400,1521.53268765133
transit,2021,25,block_group,250010105001,2700,2088.70460048426
transit,2021,25,block_group,250010105001,3000,2636.17191283292
transit,2021,25,block_group,250010105001,3300,3072.54963680387
transit,2021,25,block_group,250010105001,3600,3505.59322033898
transit,2021,25,block_group,250010105002,300,2.87226277372262
transit,2021,25,block_group,250010105002,600,6.44890510948905
transit,2021,25,block_group,250010105002,900,12.3248175182481
transit,2021,25,block_group,250010105002,1200,32.92700729927
transit,2021,25,block_group,250010105002,1500,62.1569343065693
transit,2021,25,block_group,250010105002,1800,124.273722627737
transit,2021,25,block_group,250010105002,2100,237.138686131386
transit,2021,25,block_group,250010105002,2400,342.295620437956
transit,2021,25,block_group,250010105002,2700,446.536496350365
transit,2021,25,block_group,250010105002,3000,652.667883211678
transit,2021,25,block_group,250010105002,3300,1041.77737226277
transit,2021,25,block_group,250010105002,3600,1663.44890510948
transit,2021,25,block_group,250010105003,300,15.4566929133858
transit,2021,25,block_group,250010105003,600,44.8031496062992
transit,2021,25,block_group,250010105003,900,134.889763779527
transit,2021,25,block_group,250010105003,1200,340.023622047244
transit,2021,25,block_group,250010105003,1500,678.133858267716
transit,2021,25,block_group,250010105003,1800,1070.94881889763
transit,2021,25,block_group,250010105003,2100,1557.86614173228
transit,2021,25,block_group,250010105003,2400,2056.22047244094
transit,2021,25,block_group,250010105003,2700,2582.09842519685
transit,2021,25,block_group,250010105003,3000,2985.8779527559
transit,2021,25,block_group,250010105003,3300,3400.29527559055
transit,2021,25,block_group,250010105003,3600,3802.86614173228
transit,2021,25,block_group,250010106001,300,7.35185185185185
transit,2021,25,block_group,250010106001,600,11.7175925925925
transit,2021,25,block_group,250010106001,900,79.4537037037037
transit,2021,25,block_group,250010106001,1200,276.222222222222
transit,2021,25,block_group,250010106001,1500,597.712962962962
transit,2021,25,block_group,250010106001,1800,781.263888888888
transit,2021,25,block_group,250010106001,2100,1274.74074074074
transit,2021,25,block_group,250010106001,2400,1520.34722222222
transit,2021,25,block_group,250010106001,2700,1884.00925925925
transit,2021,25,block_group,250010106001,3000,2138.58796296296
transit,2021,25,block_group,250010106001,3300,2532.70833333333
transit,2021,25,block_group,250010106001,3600,3059.0324074074
transit,2021,25,block_group,250010106002,300,3.73550724637681
transit,2021,25,block_group,250010106002,600,7.89492753623188
