mode,year,parent_area,summary_level,geoid,threshold,weighted_average
transit,2021,25,census_tract,25001010700,900,112.890742285237
transit,2021,25,census_tract,25001010700,1200,207.312760633861
transit,2021,25,census_tract,25001010700,1500,354.633027522935
transit,2021,25,census_tract,25001010700,1800,588.235195996663
transit,2021,25,census_tract,25001010700,2100,841.525437864887
transit,2021,25,census_tract,25001010700,2400,1166.04170141784
transit,2021,25,census_tract,25001010700,2700,1587.05754795663
transit,2021,25,census_tract,25001010700,3000,2050.50625521267
transit,2021,25,census_tract,25001010700,3300,2669.4437030859
transit,2021,25,census_tract,25001010700,3600,3323.80733944954
transit,2021,25,census_tract,25001010800,300,34.3227146814404
transit,2021,25,census_tract,25001010800,600,49.0632502308402
transit,2021,25,census_tract,25001010800,900,88.8804247460757
transit,2021,25,census_tract,25001010800,1200,152.647276084949
transit,2021,25,census_tract,25001010800,1500,260.093721144967
transit,2021,25,census_tract,25001010800,1800,365.133887349953
transit,2021,25,census_tract,25001010800,2100,494.184672206832
transit,2021,25,census_tract,25001010800,2400,638.773776546629
transit,2021,25,census_tract,25001010800,2700,815.136195752539
transit,2021,25,census_tract,25001010800,3000,1037.2460757156
transit,2021,25,census_tract,25001010800,3300,1288.07710064635
transit,2021,25,census_tract,25001010800,3600,1564.60433979686
transit,2021,25,census_tract,25001010900,300,21.8583467094703
transit,2021,25,census_tract,25001010900,600,27.779695024077
transit,2021,25,census_tract,25001010900,900,47.8816211878009
transit,2021,25,census_tract,25001010900,1200,77.8727929373996
transit,2021,25,census_tract,25001010900,1500,163.447030497592
transit,2021,25,census_tract,25001010900,1800,234.948234349919
transit,2021,25,census_tract,25001010900,2100,353.440609951845
transit,2021,25,census_tract,25001010900,2400,522.464686998394
transit,2021,25,census_tract,25001010900,2700,718.101926163723
transit,2021,25,census_tract,25001010900,3000,944.613964686998
transit,2021,25,census_tract,25001010900,3300,1240.5658105939
transit,2021,25,census_tract,25001010900,3600,1609.63322632423
transit,2021,25,census_tract,25001011002,300,12.3459149546106
transit,2021,25,census_tract,25001011002,600,39.7897754419493
transit,2021,25,census_tract,25001011002,900,91.3377926421404
transit,2021,25,census_tract,25001011002,1200,167.330625895843
transit,2021,25,census_tract,25001011002,1500,290.857142857142
transit,2021,25,census_tract,25001011002,1800,464.725752508361
transit,2021,25,census_tract,25001011002,2100,703.895843287147
transit,2021,25,census_tract,25001011002,2400,1051.8337314859
transit,2021,25,census_tract,25001011002,2700,1470.45389393215
transit,2021,25,census_tract,25001011002,3000,2041.70807453416
transit,2021,25,census_tract,25001011002,3300,2690.15384615384
transit,2021,25,census_tract,25001011002,3600,3418.14859053989
transit,2021,25,census_tract,25001011100,300,19.7438611346316
transit,2021,25,census_tract,25001011100,600,41.6994072819644
transit,2021,25,census_tract,25001011100,900,80.2184589331075
transit,2021,25,census_tract,25001011100,1200,141.071126164267
transit,2021,25,census_tract,25001011100,1500,254.285351397121
transit,2021,25,census_tract,25001011100,1800,360.03683319221
transit,2021,25,census_tract,25001011100,2100,529.346316680779
transit,2021,25,census_tract,25001011100,2400,744.591024555461
transit,2021,25,census_tract,25001011100,2700,1048.89034716342
transit,2021,25,census_tract,25001011100,3000,1431.09271803556
transit,2021,25,census_tract,25001011100,3300,1920.15156646909
transit,2021,25,census_tract,25001011100,3600,2470.30906011854
transit,2021,25,census_tract,25001011200,300,11.9186507936507
transit,2021,25,census_tract,25001011200,600,53.2969576719576
transit,2021,25,census_tract,25001011200,900,127.263227513227
transit,2021,25,census_tract,25001011200,1200,270.788359788359
transit,2021,25,census_tract,25001011200,1500,445.394841269841
transit,2021,25,census_tract,25001011200,1800,624.890873015873
transit,2021,25,census_tract,25001011200,2100,887.261243386243
transit,2021,25,census_tract,25001011200,2400,1189.1951058201
transit,2021,25,census_tract,25001011200,2700,1582.32275132275
transit,2021,25,census_tract,25001011200,3000,2092.29431216931
transit,2021,25,census_tract,25001011200,3300,2699.6164021164
transit,2021,25,census_tract,25001011200,3600,3406.44312169312
transit,2021,25,census_tract,25001011300,300,26.1634320735444
transit,2021,25,census_tract,25001011300,600,41.0347293156281
transit,2021,25,census_tract,25001011300,900,86.0960163432073
transit,2021,25,census_tract,25001011300,1200,158.102145045965
transit,2021,25,census_tract,25001011300,1500,247.749744637385
transit,2021,25,census_tract,25001011300,1800,425.383043922369
transit,2021,25,census_tract,25001011300,2100,551.010214504596
transit,2021,25,census_tract,25001011300,2400,684.765066394279
transit,2021,25,census_tract,25001011300,2700,834.836567926455
transit,2021,25,census_tract,25001011300,3000,957.660878447395
transit,2021,25,census_tract,25001011300,3300,1176.88968335035
transit,2021,25,census_tract,25001011300,3600,1396.5669050051
transit,2021,25,census_tract,25001011400,300,19.2807183364839
transit,2021,25,census_tract,25001011400,600,29.7088846880907
transit,2021,25,census_tract,25001011400,900,42.2051039697542
transit,2021,25,census_tract,25001011400,1200,83.6124763705104
transit,2021,25,census_tract,25001011400,1500,143.982041587901
transit,2021,25,census_tract,25001011400,1800,223.613421550094
transit,2021,25,census_tract,25001011400,2100,345.817580340264
transit,2021,25,census_tract,25001011400,2400,479.926275992438
transit,2021,25,census_tract,25001011400,2700,653.543478260869
transit,2021,25,census_tract,25001011400,3000,895.746691871455
transit,2021,25,census_tract,25001011400,3300,1195.30623818525
transit,2021,25,census_tract,25001011400,3600,1605.52268431001
transit,2021,25,census_tract,25001011500,300,27.6543274244004
transit,2021,25,census_tract,25001011500,600,56.3331595411887
transit,2021,25,census_tract,25001011500,900,107.195516162669
transit,2021,25,census_tract,25001011500,1200,281.581856100104
transit,2021,25,census_tract,25001011500,1500,493.029197080291
transit,2021,25,census_tract,25001011500,1800,828.322210636079
transit,2021,25,census_tract,25001011500,2100,1215.32481751824
transit,2021,25,census_tract,25001011500,2400,1734.98279457768
transit,2021,25,census_tract,25001011500,2700,2324.8519290928
transit,2021,25,census_tract,25001011500,3000,3006.35870698644
transit,2021,25,census_tract,25001011500,3300,3785.15015641293
transit,2021,25,census_tract,25001011500,3600,4641.98227320125
transit,2021,25,census_tract,25001011600,300,21.1356589147286
transit,2021,25,census_tract,25001011600,600,91.9372093023255
transit,2021,25,census_tract,25001011600,900,227.337209302325
transit,2021,25,census_tract,25001011600,1200,392.681395348837
transit,2021,25,census_tract,25001011600,1500,603.986046511627
transit,2021,25,census_tract,25001011600,1800,837.027131782945
transit,2021,25,census_tract,25001011600,2100,1158.19147286821
transit,2021,25,census_tract,25001011600,2400,1581.86201550387
transit,2021,25,census_tract,25001011600,2700,2222.03643410852
transit,2021,25,census_tract,25001011600,3000,3117.58527131782
transit,2021,25,census_tract,25001011600,3300,4311.16279069767
transit,2021,25,census_tract,25001011600,3600,5576.396124031
transit,2021,25,census_tract,25001011700,300,23.3116531165311
